Company Name,Title,Description,Location,Started On,Finished On
Peppermill Resort Spa Casino,Concierge,,"Reno, Nevada, United States",Sep 2021,
Capital Insurance Group,Software Engineer Intern,,,May 2022,Aug 2022
The Home Depot,Deliveries Associate,,,Sep 2020,Aug 2021
iProperties International,Administrative Assistant,,"Las Vegas, Nevada, United States",Aug 2019,Aug 2020
Target,Food Service Worker,,"Las Vegas, Nevada, United States",Oct 2018,Jan 2019
Dairy Queen,Food Service Worker,,"Las Vegas, Nevada, United States",Aug 2017,Sep 2018
